run	time	zone	id.fire	target.area	burnt.area
1	55	ZD	17	88	88
1	55	ZD	18	32	32
1	55	ZD	19	8	8
1	55	ZD	20	40	40
1	55	ZD	21	24	24
1	55	ZA	22	432	432
1	55	ZA	23	140	140
1	55	ZA	24	184	184
1	55	ZA	25	116	116
1	55	ZA	26	196	196
1	55	ZA	27	100	100
1	55	ZA	28	92	92
1	55	ZA	29	172	172
1	55	ZA	30	104	104
1	55	ZA	31	160	160
1	55	ZA	32	64	64
1	55	ZA	33	68	68
1	55	ZA	34	20	20
1	55	ZA	35	68	68
1	55	ZA	36	52	52
1	55	ZA	37	164	164
1	55	ZC	38	60	60
1	55	ZC	39	72	72
1	55	ZC	40	72	72
1	55	ZC	41	8	8
1	55	ZC	42	68	68
1	55	ZC	43	124	124
1	55	ZC	44	128	128
1	55	ZC	45	52	52
1	55	ZC	46	4	4
1	55	ZC	47	44	44
1	55	ZC	48	88	88
1	55	ZC	49	188	188
1	55	ZC	50	84	84
1	55	ZC	51	252	252
1	55	ZC	52	12	12
1	55	ZC	53	140	140
1	55	ZC	54	188	188
1	60	ZC	1	28	28
1	60	ZC	2	52	52
1	60	ZC	3	16	16
1	60	ZC	4	92	92
1	60	ZC	5	56	56
1	60	ZC	6	120	120
1	60	ZC	7	116	116
1	60	ZC	8	84	84
1	60	ZC	9	284	284
1	60	ZC	10	108	108
1	60	ZC	11	4	4
1	60	ZC	12	72	72
1	60	ZC	13	88	88
1	60	ZC	14	312	312
1	60	ZC	15	136	136
1	60	ZC	16	132	132
1	60	ZC	17	88	88
1	60	ZB	18	12	12
1	60	ZB	19	36	36
1	60	ZB	20	64	64
1	60	ZB	21	112	112
1	60	ZB	22	8	8
1	60	ZB	23	260	260
1	60	ZB	24	552	552
1	60	ZB	25	904	904
1	60	ZB	26	240	240
1	60	ZB	27	80	80
1	60	ZB	28	48	48
1	60	ZB	29	56	56
1	60	ZB	30	8	8
1	60	ZB	31	140	140
1	60	ZB	32	32	32
1	60	ZA	33	1360	1360
1	60	ZA	34	212	212
1	60	ZA	35	848	848
1	60	ZA	36	140	140
1	60	ZA	37	88	88
1	60	ZA	38	44	44
1	60	ZA	39	1016	1016
1	60	ZA	40	140	140
1	60	ZA	41	120	120
1	60	ZA	42	20	20
1	60	ZA	43	1060	1060
1	60	ZA	44	92	92
1	60	ZA	45	20	20
1	60	ZA	46	76	76
1	60	ZA	47	864	864
1	60	ZA	48	296	296
1	60	ZD	49	20	20
1	60	ZD	50	12	12
1	60	ZD	51	44	44
1	60	ZD	52	24	24
1	60	ZD	53	44	44
1	60	ZD	54	40	40
1	65	ZD	1	36	12
1	65	ZD	2	20	20
1	65	ZD	3	20	20
1	65	ZD	4	8	8
1	65	ZD	5	36	36
1	65	ZD	6	80	80
1	65	ZA	7	104	104
1	65	ZA	8	476	476
1	65	ZA	9	392	392
1	65	ZA	10	408	408
1	65	ZA	11	260	260
1	65	ZA	12	8	8
1	65	ZA	13	108	108
1	65	ZA	14	180	180
1	65	ZA	15	220	220
1	65	ZA	16	152	152
1	65	ZA	17	1156	1156
1	65	ZA	18	288	288
1	65	ZA	19	152	152
1	65	ZA	20	148	148
1	65	ZA	21	68	68
1	65	ZA	22	88	88
1	65	ZB	23	168	168
1	65	ZB	24	736	736
1	65	ZB	25	676	676
1	65	ZB	26	172	172
1	65	ZB	27	40	40
1	65	ZB	28	60	60
1	65	ZB	29	48	48
1	65	ZB	30	568	568
1	65	ZB	31	200	192
1	65	ZB	32	8	8
1	65	ZB	33	1264	364
1	65	ZB	34	332	332
1	65	ZB	35	1012	1012
1	65	ZB	36	52	52
1	65	ZB	37	296	296
1	65	ZC	38	0	4
1	65	ZC	39	4	4
1	65	ZC	40	100	100
1	65	ZC	41	132	132
1	65	ZC	42	12	12
1	65	ZC	43	144	144
1	65	ZC	44	72	72
1	65	ZC	45	0	4
1	65	ZC	46	16	16
1	65	ZC	47	8	8
1	65	ZC	48	12	12
1	65	ZC	49	24	24
1	65	ZC	50	20	20
1	65	ZC	51	116	116
1	65	ZC	52	20	20
1	65	ZC	53	52	52
1	65	ZC	54	8	8
1	70	ZA	1	1452	1452
1	70	ZA	2	160	160
