run	time	UA	SProd_ha	S_CC_ha_an	S_PC_ha_an	vol
1	45	7251	116400	480	1440	155120
1	45	7351	360400	1840	3600	471240
1	45	7352	318800	2400	1280	311040
1	45	7451	751200	6240	4000	934040
1	45	81	106000	240	560	70920
1	45	8151	301600	1920	2960	436280
1	45	8152	562400	4800	2560	723240
1	45	82	459200	2320	720	255800
1	45	8251	460000	3040	800	302240
1	45	8351	877200	8880	2560	1050320
1	45	8451	615200	5920	880	599720
1	45	8462	210800	2080	480	238800
1	45	8551	634000	0	560	30920
1	45	8562	40400	0	0	NA
1	45	8651	333200	3600	400	366040
1	45	8652	269200	2640	240	279800
1	45	8663	184000	1520	160	172240
1	45	8664	176400	1680	160	185680
1	45	8665	234000	2240	160	233040
1	45	8666	330000	1280	400	171760
1	45	8751	378000	3520	400	388520
1	45	8762	329600	1200	560	137120
1	45	8763	306400	0	320	14520
1	45	8764	381600	1040	480	130000
1	45	91	241200	2720	320	140120
1	45	9351	1529200	16800	1600	1376920
1	45	9352	742800	4880	720	437200
1	45	9471	1474400	18160	1440	1377280
1	45	9551	156800	1920	160	122400
1	45	9751	1051200	12240	2400	1059040
1	50	11	764400	6000	4720	1127720
1	50	111	321200	3120	1680	530520
1	50	11161	496800	6160	1600	840640
1	50	11262	330400	4080	1360	615800
1	50	11263	315200	4080	960	606560
1	50	1171	306800	2320	1920	438120
1	50	121	467200	3680	2960	695560
1	50	122	486800	3920	2800	684600
1	50	1272	620400	6640	2240	996040
1	50	141	202800	1120	1840	271880
1	50	151	463200	2240	4640	630080
1	50	161	337600	2080	2640	459400
1	50	171	354400	3040	1440	503600
1	50	21	156000	1280	960	233200
1	50	22	175200	1600	560	241240
1	50	2371	1177200	11840	2400	1632800
1	50	2471	1479600	13920	1360	1724040
1	50	2571	2405600	24240	3360	2851640
1	50	2651	162800	80	160	18760
1	50	2661	388000	1920	480	254480
1	50	2662	212000	1840	160	205680
1	50	2663	142000	0	160	10720
1	50	2664	374000	3280	480	398240
1	50	2665	296000	0	400	23680
1	50	2666	189600	640	160	85120
1	50	2751	970000	8240	1040	983680
1	50	3153	114400	1280	80	183320
1	50	3171	224800	2080	800	314760
1	50	3351	300800	2320	640	345360
1	50	3451	13600	80	80	16360
1	50	3551	111600	1040	560	153080
1	50	41	225200	1360	1920	318120
1	50	4151	444800	4080	2640	729400
1	50	4251	841600	7520	2640	1108600
1	50	4351	918000	8080	1520	1100600
1	50	4352	592000	3920	2320	672480
1	50	51	724400	4720	5600	1018400
1	50	5151	36800	320	320	66560
1	50	6151	54800	320	640	88960
1	50	6271	430400	4000	2400	700160
1	50	6452	130000	560	1600	189040
1	50	6471	956400	6160	6080	1225120
1	50	71	511600	3440	4240	757880
1	50	7151	232400	1040	2240	285600
1	50	7152	474400	2320	3040	532320
1	50	7251	116400	480	1520	172040
1	50	7351	360400	1840	3600	501640
1	50	7352	318800	2320	1360	394360
1	50	7451	751200	6160	3760	1082440
1	50	81	106000	560	480	99040
1	50	8151	301600	2000	2880	477440
1	50	8152	562400	4720	2880	846160
1	50	82	459200	1840	880	287760
1	50	8251	460000	3360	1040	482440
1	50	8351	877200	8560	2960	1250840
1	50	8451	615200	6240	960	799760
1	50	8462	210800	1920	240	249520
1	50	8551	634000	0	560	36040
1	50	8562	40400	0	80	4240
1	50	8651	333200	3600	480	470000
1	50	8652	269200	2400	320	294720
1	50	8663	184000	1600	240	183680
1	50	8664	176400	1760	160	205520
1	50	8665	234000	2240	320	267720
1	50	8666	330000	2240	240	268200
1	50	8751	378000	3840	320	475560
1	50	8762	329600	1360	400	168600
1	50	8763	306400	0	320	15840
1	50	8764	381600	1680	400	221160
1	50	91	241200	2640	400	344840
1	50	9351	1529200	16800	2160	2050800
1	50	9352	742800	4720	720	581080
1	50	9471	1474400	18000	1440	2157600
1	50	9551	156800	2000	160	251600
1	50	9751	1051200	12400	2480	1664720
1	55	11	764400	6000	5280	1161520
